32,Gupta Dental Clinic,P.O. Box 2300,,"2118838, Fax: 2118838  kgupta52@hotmail.com ",Dr. K.S. Gupta,BDS
33,Hameer Hospital,P.O. Box 1068,Kariakoo,"2183264/5 mobile O754311877, O754267200",Dr. Hameer,MD
34,Hi-Care Dispensary,P.O. Box 692,,,Dr Mayar Patel,
35,Shree Hindul Mandal Hospital,P.O. Box 581,india,"2114991/4, 0713 618495 hindu@hindulmandal.org, kaushik@intafrica.com",Dr. Kaushik,"MD,MMED"
36,Host and Ane  Dispensary,Box  77665,Mbezi kwamsuguli,"0754805630, 0762357286, 0754965499",Allen Kimambo,CO
43,Humanitalian Red Cross Dispensary ,P.O. Box 60148,,0755 228 524 and 0754 678 257,Dr. Faustine Sungwa and Sr. Lightness Mtaita,
37,Huruma Kimara Dispensary,Box 65590,,784201584,Dr. Richard J. Sangali,
38,ICS charritable dispensary ,P.O. Box 45257,Tabata kwa dengu,0713250701 0784445908 0717250701,AMO,
46,Indra P. Chavda Clinic,P.O. Box 9718,,,,
39,International School of Tanganyika (Medical scheme clinic),,,,,
40,Jaha Dispensary,P.O. Box ,Bungoni - Ilala,"2860233, 0784541855",,
48,Jobi Health Centre,P.O. Box  2656,,,,
49,KB Medical Centre,P.O. Box 65108 ,,P.O.Box 43153,Prof Kirei,
41,K.K. Khan Medical services,P.O. Box 2654,India,0784 602404 aqk10@yahoo.com  awpomany@yahoo.com,Mr. Khan,MD
42,Kaja Child Health Care,P.O. Box 2204,Mwananyamala,"2760312,ikitundu@muchs.ac.tz",Dr. J. Kitundu,"MD, MMED, PAE"
43,Kariakoo Dispensary,Box 21169,kariakoo,713235158,Dr. F. I Maro,
44,Kelgo Dispensary ,P.O. Box 63203,,,,
54,Kiburugwa Medical clinic,P.O. Box 65002,,,Dr. P. Magessa,
45,Kigogo Dispensary,P.O. Box 705056,,207152,Ambakisye T. Mwalusamba,
46,Kilimanjaro Millenium dispensary,P.O. Box 65186,Tabata,"O754367694/0754618099,paulhlyimo@yahoo.com 0222808083",Dr. P.H. Lyimo,"MD, MMED"
47,Kinondoni Hospital,P.O. Box 35024,Kinondoni near primary court,"0754562922, 2760469 drmvungi@hotmail.com",Dr Mvungi,MD Managing Director
48,Kunduchi Beach Health Services Ltd,P.O. Box 7104 ,Kunduchi,0741 336992,"J. V. Mwanyika,Director",
49,Madona Hospital Limited,P.O. Box 24483,Tabata,"2807226,0744 500338","Prof. J. L. F. Sangawe,Managing Director",MD
50,Mafarasa Medical Care Disp,P.O. Box 77082,Kigogo Mwisho,754292662,Dr Desdery Ferdinad,
62,Malanatha Medical Clinic,P.O. Box 60432,,,Dr. Jushua Kulwa Ibengwe,
63,Mangesho Dispensary,P.O. Box 71289,,,Richard Semfukwe,
51,Masanna Hospital Services,P. O. Box 65561,Mbezi Beach samaki wabichi,2602300/ 0754379760  mhs@ntsdttz.com,Pro Richard Lema,MBchB MMED
52,Mart Buguruni Hospital,P.O. Box 60040,Buguruni,"O784307046/0754363138,2860757, nyambo @hotmail.com",Dr Magreth Nyambo,MD
53,Mbagala Rangi Tatu,P. O. Box ,Mbagala rangi tatu Mwisho,0784 303 384,DR garani,
67,,,,,,
68,Mbuyuni Dispensary,P.O. Box 65175 ,"Yombo Vituka Relini, Temeke",,Dr. R. A. Mtweve Medical Officer In-charge,MO
54,Medical and Industrial Services Ltd Meise Clinics & Pharmacy(MEISE),P.O. Box 653434 ,1035 Kalenga Street West Upanga,"Phone 2152797/2152894, 0754693477,Fax 2152796, tcgc@bol.w.tz",Prof. A. Massawe,"MBchB,MMED"
55,MEDI-ED Clinic,P.O. Box 4601,,O754262648 med@raha.com,Dr. Lwakatare,"MD,MMED"
57,MICCO Mkwajuni Dispensary,P.O. Box 72724,Kinondoni Mkwajuni.,"0713 561646, msemakweli@yahoo.com 0713 584816.0732 922887",Christian Msemakweli,
73,Mico Kipunguni B,P.O Box ,Ilala,,,
58,Micco Friends Corner Disp,Box 90545,Magomeni,,,
59,Mikumi Hospital,P.O. Box 4702,"Mbweni Street, Magomeni","Phone: 2181883 , Mikumi@hospital@yahoo.com","Dr J. Kimaro and Mr Msoka 0754317230,0754364739,07976458025","MD, MMED"
60,Mission Mbagala Dispensary,P.O. Box 655333 ,Mbagala,0754 547091. 0754 4847097,"Dr. A. Mugonzibwa,Zainabu Kibasila",
61,Mission Mikocheni Hospital,P.O. Box 65300,Luther House Sokoine,"0784221844, 0713223340umililasengo@yahoo.com",Dr Sengo,MD
62,MNA Dispensary,P.O. Box 31887,Kinondoni,,Dr. Ali Mkwama Mize,
63,Mount Ukombozi hospital,P. O. Box 646 ,Kinondoni Kawawa str Morocco Block 41 PLT3,754275520   0754 277 520  ,Dr Luther Mwamkoa,Gynaecologists
,,,,,,
79,Msamaria Mwema RC Dispensary,P.O. Box 62607,Ilala,,Omerus Peter Malema,
80,Msewe Medicare,P.O. Box 60541,,,Dr. Jonson W. Bigambo,
81,Msimbazi Dispensary and Maternity,P.O. Box ,Msimbazi/Ilala,"Phone 2683148, 0741 772941 /0741 303032",Dr. Peter Moro,
82,Mtendeni Dispensary,P.O. Box 674,,chetanramaiya@vmail.com,Dr Chetan Ramaiya,"Paediatian, MMED"
83,Mushitaq Dhiran Dental Clinic,P.O. Box 21427,,,,
64,Muya Dental Clinic,P.O. Box 6369,Ukonga Banana,"2666050, 0754266985,mtulia2000@hotmail.com",Dr. R.J. Muya,"MD, Dental Surgeon"
85,Mwenge Medical Clinic,P.O. Box 60459,Mwenge,,Dr. Y.M. M. Balele,
86,Mwinu Medical Clinic,P.O. Box 60571,Kigamboni,,Juma Hidaya Mwinula,"MD, "
65,National Health Insurance Fund,Box 11360 DSM,,,,
,Nyamongo Disp,Kinondoni A,,,,
88,New Insurance Fund,P.O. Box 11360,,,,
66,NSSF,Box 1322,,,,
67,New orient clinic ,P.O. Box 5502,Tabata,0713 267174,Dr Kisanga,
68,Oysterbay Clinic,P.O. Box 21020,,"2667932, 0784282477, kibbasa@hotmail.com",Dr. Kibbassa,"MD, MMED"
69,Oysterbay Hospital,"Box 23279, DSM",,2600015drmbawala@yahoo.co.uk ,Dr Mbawala,MD FFG
94,Pace Medical Lab ,P.O. Box 12246,,,,
,PASADA,,,fmanase@yahoo.com,Frank Manase,
70,Regency Medical Centre,P.O. Box 2029,alykhan road Upanga,"2150500, Fax 2150180",Dr. Kanabar R.,"MB, BS, DCH"
71,Rehmtula Dispensary,,,,Dr. N. Akbar,
72,Regent Hospital,,,"0784864822, 2150500            rmadhab@yahoo.com",Dr Anu Madhar panda,"MD, DHM"
73,RTM Dispensary,P.O. Box 3727,Kisutu,2119081drkhan@raha.com 07133448992,Dr L.T. Khan,MMED
74,"St. Magdalena, Dr. Lucy Rimoy ",P.O. Box 71077,,0754 289 239 znd 0754 857 099,,
92,St Magdalena  Dispensary,P. O. Box  71077,Mbagala,"0754 289236, 0754857099",Lucy Rimoyi,clinical Officer
75,St. Bernard Hospital,P.O. Box 65561,Kariakoo,"2183276, 0754 808622, sbhospital@africanonline 0754406880  0754287945",Dr l. M. M. Chuwa,
101,St. Mary Private Hospital,P.O. Box 32100,,,Dr. Ngwale ,
76,St Raphael Hospital (Kilimani Hospital),P. O. Box 35034,Manzese,"O754260861,fredmsasu2003@yahoo.com",Dr. Alfred Msasu,MD
104,St. Thomas Health Centre ,P.O.Box  8003,,,,
77,St.Claus Morden Dispensary,P.O. Box 16510,,,Nicolaus N. Kinabo,
78,Survery Dispensary,P.O. Box 35423,,,Dr. Jofrey Mosha,
79,Sykes Medical Clinic Ltd,P.O. Box 105358 ,Gerezani Ilala,"0784408150/0713606136 almsykes@yahoo,co,uk or ally@sykesspc.com",Dr. Alma Ally Sykes Pediatric Specialist,"MD,MMED"
108,Tanganyika Mennonite,P.O. Box 65463,,"2864159, 0784342358",Dr. M. Bingileki,MD
109,Tanzania Assembles of God,P.O. Box 2878,,,Dr. D. Badvey,
80,Tanzania Health Institute (THI),P. O. Box 65095,Kinondoni,0754 565 155 Fax2112752 fmasau@hotmail.com,Dr. Fredinand Masau,
111,TAZARA Dispensary,P.O. Box 40160,,,Dr. Said Wajadi,
81,T.O.H. Disp,Box 3520,,louismlingi@hotmail.com,Dr L. B. Mlingi,
82,T.C.C. Dispensary,,,,,
,,,,,,
83,THS Dispensary,P.O Box 11560,Mbezi,"0713 350084, 0784 319158,0717 009426",Dr. Sabuka,
84,Tiptop ,P.O. Box 55168,,,Dr. Mtatifikoro,
85,TMC Buguruni H Centre,Box 65463,Buguruni,0784 342358  0754342358    drbingi@yahoo.com,Dr M Bingileki,MD
86,TMJ Hospital,P. O. Box 20439,,"2775517, 2775490, 2774290 infor@tmjhospital.com",Dr Jafferji,MD
87,TMS Hospital,P.O. Box 65133,,O754283606 drkapesa@yahoo.com,Dr Kapesa,MBchB.MMMED
88,Tanzania Occupational Health Services (TOHS),P.O. Box 3520,0754 890628,"2863808, 0755 986819,tohs@intafrica.com",Dr Mligi. Dr Florian M. Kessy,"MD, MPH"
89,Tumaini Comprehensive Infirmary Ltd ,P.O. Box 7845,,,,
90,Tumaini Comprehensive Hospital,P.O. Box 14525,,"O754360688,mtulia2000@hotmail.com",Prof. Idrissa Mtulia,"MD, MMED"
91, Tumaini mission Dispensary,P.O. Box 63067,Kongowe Mwisho,0754833951 / 0755883956,Dr Y Hussein,AMO
92,Ultimate Security Dispensary,P.O. Box 21231 ,Kinondoni,Phone 2667722 Fax 2667006   0713123192,Babu Siraju Yusuph Medical Officer,MO
125,Upendo Dispensary,P.O. Box 75484,Temeke,762542730,"Philip G. Tesha,  Administrator",
126,Zainabiya Clinic,P.O. Box 20507,,"O713780360,zainabiyaclinic@cats.net.com",Dr. Mushtak,MD
93,Shadhuli L. Khan,P. O. Box 2654,,,,
129,Sunn Muislim Jamaat Charitable Hospital,,,,,
94,Dr Khan Medical Services,,,,Dr Sengo,
95,TPDC Mikocheni Disp,,,,,
96,TOC Health Services,,,,,
97,Dr Ally Mwinyi Medical Care,,,,,
,,,,,,
,,,,,,
,,,,,,
98,Zenco Clinic ,P.O. Box 20252 ,Samora Kivukoni,"Tel, and Fax.022 2125270, Mob: 0754 744999, 0754 744111, 0755 000001, 0784 70211 Email:drsmahashim@yahoo.co.uk ",Dr. Hashim,
99,Suni Muslim Jamat Charitable Hospital,,,,,
100,Baraka Dispensary,P.O.Box 11386,Dar es Salaam,784238449,Dr Ng'ombo,CO
101,Dafah Dispensary,P. O. Box 8865,Dar es Salaam,716222756,Geofrey Simon Marandu,MD
102,Kilimanjaro Medical Services Dispensary,P. O. Box ,Tabata,,,
103,K-G Afya Care Dispensary,P. O. Box 31084,Dar es Salaam,,Dr Gloria Ngajilo,MD
104,Ruazam Dispensary,P. O. Box 21764,Dar es Salaam,713150342,Dr Wency Mhally,msc
105,Waebrania Maternity Home,P. O. Box 16092,Dar es Salaam,0714 862623,Alice Nzugika,Principle Nurse
106,Mandela Dispensary,,Dar es Salaam,,,
107,Shalom Medical Centre,,Dar es Salaam,,,
108,Humanitarian Red Cross Dispensary ,,Dar es Salaam,,,
109,JD Pharmacy Limited,P. O. Box 1899,Dar es Salaam,,,
110,Msimbazi Dispensary and Maternity,,Dar es Salaam,,,
111,TEJ Nurraifo Dispensary,P. O. Box 9975,Dar es Salaam,716339571/mwakalingaruth@yahoo.com,Kassim Chande,MO
112,New Hope Dispensary,P. O. Box 60520,Dar es Salaam,0783 698664 / richardmarwa35@yahoo.com,Richard Marwa,AMO
113,Abu-Baseer Specialist Eye Clinic,P. O. Box 2864,Dar es Salaam,,,
114,Walter Hospital,P. O. Box 45567,Dar es Salaam,754629322,Dr Walter Ngonyani,MD
115,Mico Charitable Dispensary,P. O. Box 22323,Mtoni Kwa Aziz Ally,0787 668050,Stanford Lazaro,AMO
116,Muzdalifah Dispensary,P. O. Box 21405,Kiwalani,0754 867450,Mbilinyi Gonzo,Clinical Officer
117,"Tanzania Assemblies of God Manzese ""B""",P. O. Box 32514,Dar es Salaam,0754 555353/0764042205,Dr. lilian Kitunga,Msc
118,Dar es Salaam Institute of Technology,P. O. Box 2958,Dar es Salaam,754493138,Dr Godwin Ndeki,AMO
119,Sisa Community Health Centre,P. O. Box 29825,Dar es Salaam,0759 221665,Dr Omari Kabanda,MD
120,Burere Hospital,P. O. Box 30385,Kibaha,755818180,Joseph Bake,Surgeon
121,Ikunda Upendo Dispensary,P. O. Box 5635,Dar es Salaam,0713 312164,Prof Kaisi,Gynocologist
122,Keko Medical Services Dispensary,P. O. Box 42314,Dar es Salaam,0713613836/0754590259,Dr Kiwale,MD
123,Arafa Kisiwani Dispensary,P. O. Box 36076,Dar es Salaam,714444664,Dr. Tewe,MD
124,Mico Mzambarauni Dispensary,P. O. Box 22259,Gongo la Mboto,0787244119/0719 163590,Mohamed Mnyau,MD
125,Arafa ses-Mwembeni Dispensary,P. O. Box 7540,Dar es Salaam,0786 218683,Rubagumya Kashekya,MO
126,Tip Top Dispensary,P. O. Box 55168,Dar es Salaam,0655989828/0754367725,Ferdinand Mtatifikolo,Consultant Obg Specialist
127,Miko Kasorobo Dispensary,P. O. Box 45422,Dar es Salaam,0717023311/0713494732,Richard Malale,MD
128,Tanzania Charitable Hospitals Trust Fund,P.O. Box 78286,Dar es Salaam,716556256,Dr. Mkiramweni J.P,Surgeon
129,Msomeni Dispensary,P. O. Box 45120,Tandika Azimio,0754386697/0713187600,Dr Khamis Kisagalile,PAMO
130,Bochi Medical Centre,P. O. Box 55158,Dar es Salaam,,,
131,Samaria Mission Health Centre,P. O. Box 7454,Dar es Salaam,,,
132,Afya Bora Health Services Dispensary,P. O. Box 14165,Dar es Salaam,784204138,Dr Khairoonisa Pathan,MD
133,Havana Manzese Dispensary,P. O. Box 15091,Dar es Salaam,,,
134,Arafa Mapinduzi Dispensary,P. O. Box 45154,Dar es Salaam,767108425,Khalfan Khalean,CO
135,John Medical Dispensary,P. O. Box 65116,Dar es Salaam,,,
136,Buguruni Anglican Health Centre,P. O. Box 25016,Dar es Salaam,,,
137,Hafford Health Care,P. O. Box 46246,Dar es Salaam,0713 213189,Ford Chisongela,AMO
138,Kodepa Charitable Dispensary Matumaini,P. O. Box 9533,Dar es Salaam,719587466,Grayson Mramba,Assistant Dental Officer
139,Mzambarauni B Dispensary,P. O. Box 72400,Dar es Salaam,754001231,Dr Salum Chambuso,Physician
140,Taifo Dispensary,P. O. Box 76592,"Yombo Vituka, Dar es Salaam",715646011,Dr Suleiman Muttani,Gynocologist
141,Members Nurraifo Dispensary,P. O. Box 40466,Dar es Salaam,,,
142,Ahueni Health Centre,P. O. Box 79584,Dar es Salaam,,,
143,Ami Trauma Centre & Well Woman Clinic,P. O. Box 3867,Dar es Salaam,,,
144,IMTU Hospital,P. O. Box 77594,Dar es Salaam,hospitaldirector@imtu.ac.tz,Dr Ali Mzige,MD
145,Kesheni Mission Dispensary,P. O. Box 4912 ,Dar es Salaam,,,
146,Arafa Mbagala Kuu Dispensary,P. O. Box 104861,Dar es Salaam,,,
147,Part II Pharmacy,,Dar es Salaam,,,
148,Huruma Prinmat Katesh,,Dar es Salaam,,,
149,Green Hill School-Dispensary,P. O. Box 39855,Dar es Salaam,,,
150,Mabibo Muleba Lab Consult Dispensary,P. O. Box 41250 ,Dar es Salaam,,,
151,Ardhi University Dispensary,,Dar es Salaam,,,
152,Atlas Pharmacy,,Dar es Salaam,,Dr. John Augustine,MD
153,Cardinal Rugambwa Hospital,P. O. Box 40960,Dar es Salaam,255222843200/ 0712 409097/  cardinal_rugambwa@yahoo.com,Sr. Dr Leonilla Ifunya,AMO
154,Poverty Africa Kitunda Charitable Dispensary,P. O. Box 5034,Dar es Salaam,0754 395514,Elias Nyangi,AMO
155,Heameda Medical Clinic,P. O. Box 12633,Dar es Salaam,,,
156,Makongo Hills Clinic,P. O. Box 65288,Dar es Salaam,,,
157,Sandarya Dispensary,P. O. Box 32800,Dar es Salaam,0713 667424/ 0764 491119- mirumbesandarya@yahoo.com,Patric Mirumbe,"MD,MPH"
158,St. Brendan Dispensary,P. O. Box 1465,Dar es Salaam,0714 733327/ 0784 150800- manyallaabeid2000@yahoo.com,Dr. Pilly Ally Vitalis,Medical Radiology Specialist
159,Hekima Dispensary,P. O. Box 15669,Dar es Salaam,0755 823628 ,Dr. Godson Ngwatu,SAMO
160,PK Dispensary,P. O. Box 9836,"Tegeta Kibaoni, Dar es Salaam",,,
161,Tiba Healthcare Dispensary,P. O. Box 20619,Dar es Salaam,022 2112998/022 2130883 / 0655 769293- 0683 769293,Dr. Jamil Merali,MBBS
162,Arafa Sama Dispensary,P. O. Box 104861,"Mbagala Chamanzi, Dar es Salaam",0754 764174/ 0787 432771,Godwin Ndeki,AMO
,,,,,,
,,,,,,
B.  TANGA,,,,,,
,,,,,,
S/N,NAME OF HEALTH FACILITY,ADDRESS,Location,Contact,Responsible,Qualifications
,,,,,,
1,Annie Nkini Health Lab.,P.O. Box 1903,,O784391731,Mr. Charles Mgaya,Laboratory Technologist-
2,Burhan Charitable,Box 190 Tanga,Ngamiani,272647650,Ali Ibrahim,
3,Medisemo Dispensary,P.O. Box 1710,,"O272646199, 0754492327",Dr. Magreth Mhando,"MD, MMED,, Physician"
4,Pace Medical Laboratory,P.O. Box 12246,,"O27 2646489/0753246746,manzawasmj@yahoo.com",Shamkusa Mwanzawa,Lab. Technician
5,Safi Medics,P.O.Box 5305,Bombo Area,"Phone 2643938,2644646,0748 408333,safimedics@yahoo.co.au",Dr Mberesero,
6,Tanga Central H.C.,P.O. Box 1171,,O272647644/0713608526,Dr. Ngayomella,"MD, MMED, Surgeon"
7,Tanga Motherchild Hospital,P.O. Box,,,,
8,T.O Health services,P.O.Box ,Korogwe,,Dr Mligi,
9,Tanga Medicare Centre,P.O. Box 6052,,O272646920/0713807500,Dr. William Madundo,"MD, MMED,Gynecologist "
8,Total,,,,,
,,,,,,
10,Besha Health Centre,P. O. Box 5025,Tanga,,,
11,Tayodea Hindumandal Dispensary,B0x 5344 Tanga,0714102833 dnywage@yahhoo.com,,,
12,Bakwata Charitable Dispensary,BOX 5703,,,Dr. Abbas,
13,Kinande Pharmacy,,,,,
14,Imani Dispensary,Box 5498,0655525199/0784525199,,,
15,Manundu Dispensary,Box 85,Lala salam Korogwe,784742222,Dr Al Haji Mzige,
16,Rasheed Dispensary,P. O. Box 467 Tanga,rasheed_dispensary@hotmail.com,0715 522786,Dr. Shabbir M. Rasheed,AMO
17,Kodepa Charitable Dispensary,"P. O. Box 1198 Pongwe, Tanga",georgehizza@gmail.com,0712 101394,Mbwana Kidasi,M.O
,,,,,,
,,,,,,
,,,,,,
,,,,,,
C. MOSHI,,,,,,
S/N,NAME OF HEALTH FACILITY,ADDRESS,Location,Contact,Responsible,Qualifications
,,,,,,
1,Church of Gospel Internal Dispensary,,,,,Cardiologist
2,Cogi Dispensary Majengo,P.O. Box 10032,,O754560584 saggatiado@yahoo.com,Dr. Sagatti Adolf,"MD,MPH"
3,Kilimanjaro Medical Services Dispensary,P.O. Box 6449 ,,O27 2502134/0754466028 patricklyimo@yahoo.com,Dr. Patrick Lyimo,"MD, MMED "
4,Amec Medical Clinic (Holili Health Centre),Box 1051 ,Mission Road,,August Philip Temu,
5,Kibo Paediatric Dispensary,P.O.Box 1537 ,,Phone 027 53166 0744 815961 rauyaze@yahoo.com ,Dr. Z. C.  Rauya,"MD, MMED "
6,Langoni Dispensary,P.O. Box ,,,Dr. Antipas Mtallo,
7,Medical Consult,P.O. Box 770,,O27 2750660 O754760919 widmelp@yahoo.com,Dr. Widmel Pandael,
8,Sabasaba H. Centre,P.O. Box 9531,,O754 508151,Dr. P.B. Massawe,"MD, MPH"
9,Siima Charitable General Hospital.,P.O. Box 8221,,"O754244084,O754282353",Dr. J. Ngatulile,
10,Kilimanjaro Christian Medical Centre,Private,,,Prof. J. Shayo,
,Namanga Disp,Box 23363,,,,
11,Moshi Arusha Occupation Health Centre,P.O. Box 145 Moshi,,Taifa Road,Dr Gideon Kombe0732971957,Mr Kilwa
12,K.T. Maternity Hospital,P.O. Box 965,,,"Dr. A. H. Kajembe, Dr. D. Risasi",
13,Jaffery Medical charitable service,Box 109 Moshi ,0713755596   0272751843  0272750536 0756585985.,Dr M. N. JanMohamed    mjanmohd@hotmail.co,,
14,Magadini disp,Box 249  Hai,,,Dr Joseph Tesha,
15,Faraja Health Centre,,Dr S. L. Minja,,,
16,Neema Dispensary,,,,,
17,Mbwambo Dispensary,B0x 870,0-754499424 jsmbwambo@yahoocom.,Dr.mbwambo,,
18,Mary Landy H/C,Box 6541,784675472,Dr Sospeter Kidaso,,
19,Deborah Medics(Adella Macleod),Box 1428,0-754482727adellaassey@yahoo.com,Adella,kisua street,
20,Samaria Dispensary,Box 52, 0-784604826 ramson lyimo co,Samaria,Tarakea -Rombo,
21,Nshara Community  Dispensary,,0759 959613/0767 229608,J. M. Kwayu,Hai,
22,Boma Health Care,Box 130,754380164,,Boma -Hai,
23,Upendo Dispensary,B0x 870,7514515814,Dr. Njama Mbaruku Mhina,Boma -Hai,
24,Cogi Kwasadala,Box 146,0-754381745/0-715381745,Dr. Lema  Job Theoplo,Hai,
25,C.O.G.I Dispensary,Box 90,0-754848826,Dr. Maleko,Hedaru,
26,R.M. Nina Dispensary,Box 14,0-754395536/0-715395536/0-787294068,Dr. Godson S.Z. Mangare,Hedaru,
28,Tumaini Urban Health Centre,Box 117 SAME,,,,
29,Lyamungo Nursing Home,P. O. Box 1222 Moshi,0655 523664,Juma Mohamed Lema,,Nursing Officer
30,Health Care Dispensary,P. O. Box 390 Moshi,0784 963436,Dr. Molay,,MD
31,Hamu Dispensary,P. O. Box 8249 Moshi,0754 376250/ 0753 189177,Dr. Hamis Joseph Mponezya,Moshi,MD
,,,,,,
,,,,,,
,,,,,,
D. ARUSHA:,,,,,,
,,,,,,
S/N,NAME OF HEALTH FACILITY,ADDRESS,Location,Contact,Responsible,Qualifications
,,,,,,
1,Arusha Medical Centre,P.O. Box 12877,,"O27 2508020, 0713510079, chamba@africaonline.co.tz",Dr. G.B. Chamba,"MD, MMED, Surgeon"
2,Arusha X.Ray Centre,P.O. Box 7377,,"O27 2750593, 0755241460",Dr. J.J. Lyimo,"MD,MMED, Radiologist"
3,Elerai west end Disp,Arusha,,P.O.Box 2091  tel 0754 817987 Email gedioniurio@yahoo.com,Dr. John Urio,AMO
4,Isthana Asheri Charitable Hospital,P.O. Box 7176 Arusha,Kilombero,"027 2544778/2548669, 0748 459600 ich@habari.co.tz",Dr. Mohamed Alwani Medical Director,
5,Jobi Health Centre,P.O Box  2656,,O754392298 bibianamardai@yahoo.co.uk,Dr J Mardai,"MD, MMED"
6,Kammed Consult & Laboratory Service,P.O. Box 6043 Arusha,,Phone 2507766 Fax 2504501/0748 430833 pamhando@hotmail.com,Dr. Peter Mhando,
8,Old Arusha H.C.,P.O. Box 89,,"O27 2502134, 0754479966 urasa@habari.co",Dr Nsiande Urassa 0713597550,"MD, FRCS"
9,Shree Hindul Mandal,P.O. Box 3051,,"O27 2506389, 0754264874 daktarip@hotmail.co",Dr. R.N. Patalia,MD
10,St. Thomas Health Centre,P.O. Box 8003,,"O27 2548558, 0754 380200 makando2000@yahoo.com",Dr. L.H. Makando,MD
11,Mosh Arusha Occupational Health service,Box 2091 Arusha,,0732971957      0732971958,Dr Gideon S. Kombe,
12,AICC Hospital,,,,,
