Wayda Dispensary,,,,Arusha,Karatu,Dispensary,Yes,NZ
Zaci - Bashay Dispensary,,,,Arusha,,,Yes,NZ
Zaki Dispensary,,,,Arusha,Karatu,Dispensary,Yes,NZ
A.B Dar Es Salaam Medical Centre,Dr Balu Batel (MBBS),773144144,,Dar,Mafia Street,Health Centre,YES,CZ
AAR Dispensary,,,,Dar,Kinondoni,Dispensary,YES,CZ
Abass Medical Centre,,,,Dar,Swahili Street,Health Centre,YES,CZ
Abu Basser Eye Specialist,,,,Dar,Nkurumah,Clinic,YES,CZ
Afya Bora Health Service Dispensary,Dr Fariji Mtango,754030050,,Dar,,Dispensary,YES,CZ
Aga Khan Hospital,Dr Ambrose Chanji,0754 297780,,Dar,Kinondoni,Hospital,YES,CZ
Ahueni Medicare Health Centre,Dr Kayombo,767402222,gladys@ahueni.co.tz,Dar,,Medical Centre,YES,CZ
Alhassan Hassan Medical Centre,,,,Dar,,Health Centre,YES,CZ
Aljumaa Dispensary,,,,Dar,,Dispensary,YES,CZ
Apollo Medical Centre,Dr Nazir H,784609152,"appollomedics@yahoo.co.uk, drarab@hotmail.com",Dar,Mshihiri Street City Centre,Medical Centre,YES,CZ
Arafa Kisiwani Dispensary,,,,Dar,Kigamboni,Dispensary,YES,CZ
Arafa Mapinduzi Dispensary,,,,Dar,,Dispensary,YES,CZ
Arafa Mbagala Kuu Dispensary,,,,Dar,Mbagala Kuu - Njia ya Ng'ombe Bus Stop,Dispensary,YES,CZ
Arafa Mbagala Rangi Tatu Dispensary,,,,Dar,Kituo cha Mwisho Mbagala,Dispensary,YES,CZ
Arafa Mwananchi Dispensary,Manumbu Mjungu,713271639,,Dar,Kimara Baruti,Dispensary,YES,CZ
Arafa Mwananchi Dispensary,Sumbuko Kindole,741413026,,Dar,Tabata,Dispensary,YES,CZ
Arafa Ses Mwembeni Dispensary,,,,Dar,,Dispensary,YES,CZ
Arafa Upendo Charitable Health Centre,Stanslous Massawe,784269964,drstmassawe@yahoo.com,Dar,Temeke,Health Centre,YES,CZ
Ardhi University Dispensary,Jane Chubwa (AMO),0754 596 375,,Dar,Ardhi University,Dispensary,YES,CZ
Atlas Pharmacy,,,,Dar,,Pharmacy,YES,CZ
Ave E.A Ngozingwa Dispensary,,,,Dar,,Dispensary,YES,CZ
Azania Dispensary,,,,Dar,Kigogo,Dispensary,YES,CZ
B. P Clinic,,,,Dar,,Clinic,YES,CZ
Bahari Dispensary,Dr Thomas Kigula,715365671,Gongo la Mboto,Dar,Gongo la Mboto,Dispensary,YES,CZ
BAKWATA Dispensary,Dr Mwakilangala,784930545,,Dar,Temeke,Dispensary,YES,CZ
Baraka Dispensary,,,,Dar,,Dispensary,YES,CZ
Bhoke Dispensary,Matiku Nyakarungu,754304442,,Pwani,"Picha ya Ndege, Kibaha",Dispensary,YES,CZ
BIT Dispensary,,,,Dar,Indira Ghandi / Jamhuri,Dispensary,YES,CZ
BOCHI Health Centre,Florian M. Kessy,"0786 188573, 0767676431",bochihealthcentre@yahoo.com,Dar,"Mbezi, Kimara",Medical Centre,YES,CZ
Bonde la Mpunga Dispensary,Dr Hassan,0714 268782,,Dar,Msasani,Dispensary,YES,CZ
Buguruni Anglican Health Centre,Dr Yohana Mokiwa,75436318,mokkso@yahoo.com,Dar,Buguruni,Health Centre,YES,CZ
Burere Hospital,,,,Pwani,Kibaha,Hospital,YES,CZ
Burhani Hospital,Dr M.M Amijee,784452165,dramji@hotmail.com,Dar,,Hospital,YES,CZ
Chakuwajali Annex Dispensary,Dr Mwenda,753346240,,Dar,,Dispensary,YES,CZ
Child Health Clinic,Prof Karim Manji,754350630,,Dar,,Clinic,YES,CZ
Claus Modern Dispensary,,,,Dar,,Dispensary,YES,CZ
Dafah Dispensary,Dr F Raul,716222756,ciscomakalatasi@hotmail.com,Dar,Ilala,Dispensary,YES,CZ
Dar Es Salaam Medical Centre,,,,Dar,,Medical Centre,YES,CZ
DCR Clinic and Diagnosis Centre,,,,Dar,,Medical Centre,YES,CZ
DIT Dispensary,,,,Dar,,Dispensary,YES,CZ
Dr Ally Mwinyi Medical Care,,,,Dar,,Medical Centre,YES,CZ
Dr Cyril Baduey,,,,Dar,,Dispensary,YES,CZ
Dr Haybar Umba,,,,Dar,,Dispensary,YES,CZ
Dr Khan Medical Services,,,,Dar,,Medical Centre,YES,CZ
Dr Mbaga Dispensary,,,,Dar,,Dispensary,YES,CZ
E.D.C Polyclinic,Atupele Mwamba,0754 364003,,Dar,,Clinic,YES,CZ
Ebrahim Haji Hospital,,,,Dar,,Hospital,YES,CZ
Ekenywa Dispensary,Dr L Ole Lengine,784256216,immalois@yahoio.com,Dar,Barabara ya Sheikh Yahya Mwembechai,Dispensary,YES,CZ
Elerai West-End Dispensary,,,,Dar,,Dispensary,YES,CZ
Elly Medical Consult Clinic,,,,Dar,Msisiri A Mwananyamala,Clinic,YES,CZ
Family Care Clinic and Pharmacy,,,,Dar,Mfaume Road Upanga West,Pharmacy,YES,CZ
Family Medical Services,,,,Dar,THB Estate Kijitonyama,Medical Centre,YES,CZ
Gati Dispensary,Dr E Luvambo,762712627,,Dar,"Kibamba, CCM",Dispensary,YES,CZ
GE Dispensary,Godfrey Kayombo,784433083,,Dar,Kijichi,Dispensary,YES,CZ
Gongo la Mboto Dispensary,Dr Norbert,784301455,byase3@yahoo.com,Dar,Gongo la Mboto,Dispensary,YES,CZ
Green Hill School Dispensary,Mrs Binagi,714301455,,Dar,Pugu,Dispensary,YES,CZ
Gupta Dental Clinic,,,,Dar,,Clinic,YES,CZ
Haemada Medical Clinic,Henry Mwandolela / Zachariah Sanga,756626263/0715444485/0717957431,heameda@yahoo.com,Dar,,Clinic,YES,CZ
Hafford Health Centre,,,,Dar,,Health Centre,YES,CZ
Hameer Hospital ,Dr Hameer,754311877,,Dar,Kariakoo,Hospital,YES,CZ
Havanna Manzese Dispensary,,,,Dar,Manzese,Dispensary,YES,CZ
Hi-Care Dispensary,,,,Dar,,Dispensary,YES,CZ
Hindu Mandal Hospital,Dr Kaushik (MD),713618495,,Dar,,Hospital,YES,CZ
Host and Ane Dispensary,Allen Kimambo,0762 357286,,Dar,Mbezi - Kwa Msuguri,Dispensary,YES,CZ
Humanitarian Redcorss Dispensary,Faustine Sungwa,754678257,,Dar,,Dispensary,YES,CZ
Huruma Kimara Dispensary,,,,Dar,Kimara ,Dispensary,YES,CZ
ICS Charitable Dispensary,,,,Dar,,Dispensary,YES,CZ
Ikunda Upendo Dispensary,,,,Dar,Temeke,Dispensary,YES,CZ
IMTU Hospital,,,,Dar,Mbezi Beach ,Hospital,YES,CZ
Indra P. Chavda Clinic,,,,Dar,Tabata - Kwa Dengu,Clinic,YES,CZ
IST Clinic,Dr Belia Klaaser(MO),754783393,,Dar,Masaki,Clinic,YES,CZ
Jaha Dispensary,,,,Dar,Ilala - Bungoni,Dispensary,YES,CZ
Jobi Health Centre,Dr J Mardai (MD),,bibianamardai@yahoo.co.uk,Dar,,Health Centre,YES,CZ
John Medical Dispensary,Dr Nyawawa,784569223,enyawawa@gmail.com,Dar,Mbezi kwa Msuguri,Dispensary,YES,CZ
K/B Medical Centre,,,,Dar,India,Medical Centre,YES,CZ
Kaja Child Health Care,Dr J Kitundu (MD),,ikitundu@muchas.ac.tz,Dar,Mwananyamala,Health Centre,YES,CZ
Kariakoo Dispensary,Dr Peter Maro,713235158,kisina@gmail.com,Dar,Kariakoo,Dispensary,YES,CZ
Keko Medical Services Dispensary,,,,Dar,,Dispensary,YES,CZ
Kelgo Dispensary,,,,Dar,Buguruni,Dispensary,YES,CZ
Kesheni Mission Dispensary,Dr E Makongwa,755883956,,Dar,Mzinga Kongowe,Dispensary,YES,CZ
K-G Afya Care Dispensary,,,,Dar,,Dispensary,YES,CZ
Kiburugwa Medical Clinic,,,,Dar,,Clinic,YES,CZ
Kigogo Dispensary,,,,Dar,Kigogo,Dispensary,YES,CZ
Kilimajaro Millenium dispensary,,,,Dar,Tabata,Dispensary,YES,CZ
Kinondoni Hospital,Dr L. B Mvungi,784562922,drmvungi@hotmail.com,Dar,Kinondoni,Hospital,YES,CZ
KODEPA Charitable Dispensary,,,,Dar,Vingunguti - Kwa Simba,Dispensary,YES,CZ
Kunduchi Beach Health Services Ltd,J.V Mwanyika,741336992,,Dar,Kunduchi,,YES,CZ
Mabibo Muleba Lab Consult. Dispensary,,763291624,,Dar,Mabibo,Dispensary,YES,CZ
Madonna Hospital Limited,Prof J.L. F Sangawe,744500338,,Dar,Tabata,Hospital,YES,CZ
Mafarasa Dispensary,Dr Desdery Ferdinand,754292662,df.mafarasa@yahoo.com,Dar,Kigogo - Mwisho,Dispensary,YES,CZ
Magomeni SDA Dispensary,,,,Dar,Magomeni,Dispensary,YES,CZ
Malanatha Medical Clinic,,,,Dar,,Clinic,YES,CZ
Mandela Dispensary,Adam Mambosho,754351870,,Dar,,Dispensary,YES,CZ
Mangesho Dispensary,,,,Dar,Kiwalani,Dispensary,YES,CZ
Mart Buguruni Hospital,Dr Magreth Nyambo,754363138,nyambo@hotmail.com,Dar,Buguruni,Hospital,YES,CZ
Mart Mbagala Rangi Tatu Dispensary,Dr Garani,784303384,,Dar,Mabagala,Dispensary,YES,CZ
Massana Hospital,Prof Lema,0754 379760,rsmassana@yahoo.com,Dar,Mbezi Beach - Samaki,Hospital,YES,CZ
Mbuyuni Dispensary,,,,Dar,Temeke - Yombo Vituka Relini,Dispensary,YES,CZ
MEDI - ED Clinic,Dr Lwakatare,754262648,med@raha.com,Dar,,Clinic,YES,CZ
Meise Clinics and Pharmacy,Prof A Massawe,754693477,tcgc@bol.w.tz,Dar,Kalenga Street - West Upanga,Clinic,YES,CZ
MICCO Charitable Dispensary,,,,Dar,Mtoni - Kwa Aziz Ali,Dispensary,YES,CZ
MICCO Friends Corner Dispensary,,,,Dar,Magomeni,Dispensary,YES,CZ
MICCO Kasorobo Dispensary,,,,Dar,,Dispensary,YES,CZ
MICCO Kipunguni B Dispensary,,,,Dar,Ilala - Kipunguni,Dispensary,YES,CZ
MICCO Mkwajuni Dispensary,Christian Msemakweli,,msemkweli@yahoo.com,Dar,Kinondoni - Mkwajuni,Dispensary,YES,CZ
MICCO Mzambarauni,,,,Dar,Gongo la Mboto,Dispensary,YES,CZ
Mikumi Hospital,Dr J Kimaro (MD),,mikumihospital@yahoo.com,Dar,Magomeni - Mbweni Street,Hospital,YES,CZ
Mission Mbagala Dispensary,Dr John Rukazibwa,754547091,,Dar,Mbagala,Dispensary,YES,CZ
Mission Mikocheni Hospital,Dr Sengo,784221844,umililasengo@yahoo.com,Dar,Mikocheni,Hospital,YES,CZ
MNA Dispensary ,,,,Dar,Kinondoni,Dispensary,YES,CZ
Mount Ukombozi Hospital,Dr Luther Mwamkoa,754277522 / 0754275520,mountukombozi@ymail.com,Dar,Kinondoni -Kawawa  Street Block 41,Hospital,YES,CZ
Msamaria Mwema RC Dispensary,Dr S. Kalokola,754809272,,Dar,Ilala,Dispensary,YES,CZ
Msewe Medicare,,,,Dar,,,YES,CZ
Msimbazi Dispensary and Martenity,Matutu,713150342,,Dar,Ilala - Msimbazi ,Dispensary,YES,CZ
Msomeni Dispensary,,,,Dar,Temeke - Tandika Azimio,Dispensary,YES,CZ
Mtendeni Dispensary,,,,Dar,,Dispensary,YES,CZ
Muraifo Dispensary,,,,Dar,Ukonga,Dispensary,YES,CZ
Mushitaq Dhiran Dental Clinic,,,,Dar,,Clinic,YES,CZ
Muya Dental Clinic,Dr R. J. Muya,754266985,mtulia2000@hotmail.com,Dar,Ukonga - Banana,Clinic,YES,CZ
Muzdalifah Dispensary,Dr Gonzo Mbilinyi,,,Dar,Kiwalani,Dispensary,YES,CZ
Mwenge Medical Clinic,Y. M. M Balele,754308561,,Dar,Mwenge,Clinic,YES,CZ
Mwinu Medical Clinic,,,,Dar,Kigamboni,Clinic,YES,CZ
Mzambarauni B Dispensary,Dr S Chambuso,754001231,disjosenta@yahoo.com,Dar,Ukonga Mombasa,Dispensary,YES,CZ
New Hope Dispensary,Ano Maseta,784157525,mkombeguya@yahoo.com,Dar,,Dispensary,YES,CZ
New Orient Clinic,Dr Kalinga,756213675,,Dar,Tabata,Clinic,YES,CZ
Nyamongo Dispensary,,,,Dar,Kinondoni A,Dispensary,YES,CZ
Oysterbay Clinic,,,,Dar,,Clinic,YES,CZ
Oysterbay Hospital,,,,Dar,,Hospital,YES,CZ
Pace Medical Lab,,,,Dar,,Laboratory,YES,CZ
PASADA,,,,Dar,,Dispensary,YES,CZ
Regency Medical Centre,,,,Dar,Alykhan Road,Hospital,YES,CZ
Regent Hospital,Dr Anu Panda (MD),784864822,rmadhab@yahoo.com,Dar,,Hospital,YES,CZ
Remtulah Dispensary,,,,Dar,Jamhuri / Mosque Street,Dispensary,YES,CZ
RTM Dispensary,Dr I. T. Khan,713348992,drkhan@raha.com,Dar,Kisutu,Dispensary,YES,CZ
Ruazani Dispensary,Matutu,713150342,,Dar,,Dispensary,YES,CZ
Samaria Mission Health Centre,,0719360959 / 0652700930,,Dar,Mbagala Charambe,Medical Centre,YES,CZ
Shadhuli L. Khan,,,,Dar,,,YES,CZ
Siasa Community Health Centre,,,,Dar,,Health Centre,YES,CZ
St Bernard Hospital ,Dr I.M.M Chuwa,754808622,sbhospital@africaonline.com,Dar,Kariakoo,Hospital,YES,CZ
St Claus Modern Dispensary,,,,Dar,,Dispensary,YES,CZ
St Magdalena Dispensary,Lucy Rimoi,754857099,,Dar,Mbagala,Dispensary,YES,CZ
St Mary Private Hospital,,,,Dar,,,YES,CZ
St Raphael Hospital,Dr Alfred Msasu (MD),754460861,fredmsasu200@yahoo.com,Dar,Manzese,Hospital,YES,CZ
St Thomas Health Centre,Dr L. H. Makando,754380200,makando2000@yahoo.com,Dar,,Health Centre,YES,CZ
Survey Dispensary,Dr Geofrey Mosha (MD),787499649,,Dar,Sinza A,Dispensary,YES,CZ
Sykes Medical Clinic Limited,Alma Sykes,0784 408150,almsykes@yahoo.co.uk,Dar,Ilala - Gerezani,Clinic,YES,CZ
T.O.H Dispensary,,,,Dar,,Dispensary,YES,CZ
TAG Dispensary,Kassim Chande,716339571,mwakalingaluth@yahoo.com,Dar,,Dispensary,YES,CZ
TAG Manzese Dispensary,,,,Dar,Manzese,Dispensary,YES,CZ
Taifo Kawa Dispensary,Dr Ng'ombo,754332886,,Dar,Yombo Vituka,Dispensary,YES,CZ
Tanganyika Mennonite Dispensary,,,,Dar,,Dispensary,YES,CZ
Tanzania Charitable Hospitals Trust Fund: JPM Health Centre,Dr Jerome Mkiramweni,,tanzaniacharitablehospitalstfl@yahoo.com,Dar,"Magomeni, Kagera",Dispensary,YES,CZ
Tanzania Heart Institute Hospital,Fredinand Masau,754565155,fmasau@htomail.com,Dar,Kinondoni,Hospital,YES,CZ
Tanzania Occupational Health Services,Dr L. B Mlingi,784367071,louismlingi@hotmail.com,Dar,Temeke,Health Centre,YES,CZ
TAZARA Dispensary,,,,Dar,,Dispensary,YES,CZ
TCC Dispensary,,,,Dar,,Dispensary,YES,CZ
TEJ Charitable Dispensary,,,,Dar,Ubungo Kibangu,Dispensary,YES,CZ
Temeke Health Centre,,,,Dar,Temeke,Health Centre,YES,CZ
Temeke SDA Health Centre,,,,Dar,Temeke,Health Centre,YES,CZ
THS Dispensary,Dr Sabuka,713350084,,Dar,Mbezi,Dispensary,YES,CZ
Tip top Dispensary,,,,Dar,,Dispensary,YES,CZ
TMC Buguruni Health Centre,Dr M Bingileki,0754 342358,drbingi@yahoo.com,Dar,,Health Centre,YES,CZ
TMJ Hospital,Dr Jafferji (MD),,info@tmjhospital.com,Dar,Mikocheni,Hospital,YES,CZ
TMS Hospital,Dr Adatus Kapesa,754783606,drkapesa@yahoo.com,Dar,,Hospital,YES,CZ
TOC Health Services,Dr Mligi,755986819,tohs@intafrica.com,Dar,,Health Centre,YES,CZ
TPDC Mikocheni Dispensary,,,,Dar,Mikocheni,Dispensary,YES,CZ
Tumaini Comprehensive Infimary,,,,Dar,,Health Centre,YES,CZ
Tumaini Comprehensive Hospital,Prof Idrissa Mtulia,"0754266985, 0754360688",mtulia2000@hotmail.com,Dar,,Hospital,YES,CZ
Tumaini Mission Dispensary,Dr S Mwandu,713470008,mwandus@yahoo.com,Dar,Kongowe - Mwisho,Dispensary,YES,CZ
Ultimate Security Dispensary,Babu Siraju (MO),0713 123192,,Dar,Kinondoni,Dispensary,YES,CZ
Upendo Dispensary,,,,Dar,Kinondoni - Bunju,Dispensary,YES,CZ
Waebrania Martenity Home,,714862623,,Dar,Gongo la Mboto,Maternity Home,YES,CZ
Walter Hospital,,,,Dar,Temeke,Hospital,YES,CZ
Zainabiya Clinic,Dr Mushtak,713780360,zainabiyaclinic@cats.com,Dar,,Clinic,YES,CZ
Kwezi Dispensary,,,,Dar,Magomeni - Mapipa,Dispensary,YES,CZ
Mkondugumbi Agentina Dispensary,,,,Dar,Magomeni - Agentina,Dispensary,YES,CZ
Kinondoni B Dispensary,,,,Dar,Kinondoni,Dispensary,YES,CZ
Arafa Basna Dispensary,,,,Dar,,Dispensary,YES,CZ
Mafarasa Mabibo Dispensary,,,,Dar,Mabibo,Dispensary,YES,CZ
MICCO Sinza Dispensary,,,,Dar,,Dispensary,YES,CZ
Mama Ngoma Health Centre,,,,Dar,,Health Centre,YES,CZ
Arafa Kona Dispensary,,,,Dar,,Dispensary,YES,CZ
Arafa Huruma Dispensary,,,,Dar,,Dispensary,YES,CZ
Furaha Medi Clinic,,,,Dar,,Dispensary,YES,CZ
Tayma Tandale Dispensary,,,,Dar,,Clinic,YES,CZ
Taima Mwembenofu Dispensary,,,,Dar,,Dispensary,YES,CZ
The Mwalimu Nyerere Materia Academy,,,,Dar,,Dispensary,YES,CZ
KMS Dispensary,,,,Dar,,Dispensary,YES,CZ
Ti Dispensary,,,,Dar,,Dispensary,YES,CZ
Mtoni Kijichi Dispensary,,,,Dar,,Dispensary,YES,CZ
MICCO Tandika Dispensary,,717023311,,Dar,,Dispensary,YES,CZ
Tayma Care Temeke Dispensary,,,,Dar,Temeke Mikoroshini,Dispensary,YES,CZ
Hafford Health Care Dispensary,,,,Dar,,Dispensary,YES,CZ
MICCO Mtoni Dispensary,,,,Dar,,Dispensary,YES,CZ
Emma Health Centre,,,,Dar,Temeke,Health Centre,YES,CZ
Walter Hospital,,,,Dar,,Hospital,YES,CZ
Kanaita Dispensary,,,,Dar,,Dispensary,YES,CZ
Police Medical,,,,Dar,,Medical Centre,YES,CZ
MMOH Temeke,,,,Dar,Temeke,Health Centre,YES,CZ
Arafa Maguruwe Dispensary,,,,Dar,,Dispensary,YES,CZ
Mimo Kasorobo,,,,Dar,,Dispensary,YES,CZ
Nuruaofo Baraka,,,,Dar,Tandika,Dispensary,YES,CZ
KLM Mtoni Dispensary,,,,Dar,,Dispensary,YES,CZ
Mtendaji Dispensary,Dr Chetan Ramaiya,714421234,,Dar,,Dispensary,YES,CZ
Zenco Clinic,Dr Hashim,754744111,drsmahashim@yahoo.uk,Dar,,Clinic,YES,CZ
IMMEC Hospital,Dr Lushino,754695783,,Dar,,Hospital,YES,CZ
Wazazi Dispensary,Dr M. M Ishengoma,756826686,,Dar,,Dispensary,YES,CZ
Oysterbay Hospital,Dr Mbawala,,drmbawala@yahoo.com,Dar,,Hospital,YES,CZ
Karibu Dispensary,Dr N ndibalema,754505026,,Dar,,Dispensary,YES,CZ
CRST Mission,Dr Patrick Lyimo,754466028,,Dar,,Dispensary,YES,CZ
Shalom Medical Centre,Dr Henry Kitange,715297784,henrykitange@yahoo.com,Dar,,Medical Centre,YES,CZ
iMMEC Hospital,Dr R. N. Patalia,754264874,dactarip@hotmail.com,Dar,,Hospital,YES,CZ
K. K. Khan Medical Service,Mr Khan,784602404,awpomany@yahoo.com,Dar,,Medical Centre,YES,CZ
Quick Moscow Medical Centre,Irene Mwansasu,786009816,,Dar,,Medical Centre,YES,CZ
Medisemo Dispensary ,Magreth Mhando,754492327,,Dar,,Dispensary,YES,CZ
Poverty Africa Dispensary,Dr E. Nyangi,754395514,,Dar,"Kitunda, Ukonga",Dispensary,YES,CZ
PK Kibaoni Tegeta,,715297872,,Dar,Tegeta,Dispensary,YES,CZ
Morogoro SDA Dispensary,,,,Morogoro,,Dispensary,YES,CZ
Neema Private Nursing Home,,,,Morogoro,,Nursing Home,YES,CZ
Shalom Medical Centre,,,,Morogoro,Mazimbu,Medical Centre,YES,CZ
Tanzania OCC Health Services,,,,Morogoro,,Health Centre,YES,CZ
Tumaini Dispensary,Dr Y Hussein,754833951,,Morogoro,,Dispensary,YES,CZ
Usagala Dispensary,,,,Morogoro,Kilosa,Dispensary,YES,CZ
BAKWATA Dispensary,Dr J mwiru,784479970,,Mtwara,,,,CZ
Bukulala Dispensary,,,,Mtwara,,Dispensary,YES,CZ
Chambila Pharmacy,Hassan Chambila,784355262,,Mtwara,,Dispensary,YES,CZ
Famina Dispensary,,,,Mtwara,,Pharmacy,YES,CZ
Hijarah Dispensary,,,,Mtwara,,Dispensary,YES,CZ
Huruma Dispensary,Mwajuma Chingwaru,713503866,,Mtwara,,Dispensary,YES,CZ
Mtwara Dispensary,,,,Mtwara,,Dispensary,YES,CZ
